Tag	Count	First used	First video	Last used	Last video
twin towers	1	2018-03-28	UDRoPLIVj48	2018-03-28	UDRoPLIVj48
judoka	1	2018-03-28	UDRoPLIVj48	2018-03-28	UDRoPLIVj48
Jigoro Kano	1	2018-03-28	UDRoPLIVj48	2018-03-28	UDRoPLIVj48
gentle way	1	2018-03-28	UDRoPLIVj48	2018-03-28	UDRoPLIVj48
gentle art	1	2018-03-28	UDRoPLIVj48	2018-03-28	UDRoPLIVj48
Discipline	76	2018-04-11	WzPyau4taT0	2019-11-21	TlAoAZIAxQI
excerpt	76	2018-04-11	WzPyau4taT0	2019-11-21	TlAoAZIAxQI
competition	1	2018-04-11	WzPyau4taT0	2018-04-11	WzPyau4taT0
self defense	1	2018-04-11	WzPyau4taT0	2018-04-11	WzPyau4taT0
chesty puller	1	2018-04-19	79EX2vGx-lE	2018-04-19	79EX2vGx-lE
marine corps	5	2018-04-19	79EX2vGx-lE	2020-08-06	lD6J-hzAw0E
lewis puller jr.	1	2018-04-19	8V64QwOt7ew	2018-04-19	8V64QwOt7ew
fortunate son	1	2018-04-19	8V64QwOt7ew	2018-04-19	8V64QwOt7ew
light	1	2018-04-20	qvuMr-S-BRU	2018-04-20	qvuMr-S-BRU
general	3	2018-05-09	pFn-A2_Mdq4	2020-01-23	v2xt9G2uk8A
asian	1	2018-05-09	pFn-A2_Mdq4	2018-05-09	pFn-A2_Mdq4
q & a	4	2018-05-23	gey6hdySOm0	2019-07-04	TAAvWdYOJvo
thomas fife	1	2018-05-25	erAqhsytrgI	2018-05-25	erAqhsytrgI
korea	3	2018-05-25	erAqhsytrgI	2018-10-24	_K9ICXapatg
iwo	1	2018-05-31	XW0sLrI_pEc	2018-05-31	XW0sLrI_pEc
iwojima	1	2018-05-31	XW0sLrI_pEc	2018-05-31	XW0sLrI_pEc
guest	3	2018-05-31	XW0sLrI_pEc	2019-06-12	5CnmUAneAxA
fred harvey	1	2018-05-31	XW0sLrI_pEc	2018-05-31	XW0sLrI_pEc
drunk girl fail	1	2018-06-06	kpfP1udNOc0	2018-06-06	kpfP1udNOc0
weight lifting	1	2018-06-06	kpfP1udNOc0	2018-06-06	kpfP1udNOc0
forgiveness	1	2018-06-06	kpfP1udNOc0	2018-06-06	kpfP1udNOc0
confidence	1	2018-06-06	kpfP1udNOc0	2018-06-06	kpfP1udNOc0
Vegetius	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
Flavius	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
