Tag	Count	First used	First video	Last used	Last video
i wish it was true	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
guitar	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
jake smith	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
concert	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
live music	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
no history acoustic	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
activate	1	2020-09-10	CFeE_IbRw1o	2020-09-10	CFeE_IbRw1o
nfs	1	2020-10-08	6AsLHH0s2iw	2020-10-08	6AsLHH0s2iw
hardcore recondos	1	2020-10-08	6AsLHH0s2iw	2020-10-08	6AsLHH0s2iw
about face	1	2020-10-08	6AsLHH0s2iw	2020-10-08	6AsLHH0s2iw
gidelines	1	2020-10-23	TagQ61l_taM	2020-10-23	TagQ61l_taM
commander	3	2020-10-23	TagQ61l_taM	2020-11-20	Ow9ZW6C84Oo
guidelines for the leader and commander	1	2020-10-28	xP3NS6x63lU	2020-10-28	xP3NS6x63lU
green berets	1	2020-11-26	Q-vUpQt_U3A	2020-11-26	Q-vUpQt_U3A
tilt	2	2020-12-04	1Ca73ynwzTs	2020-12-10	VsIIMa4n5rs
